Category,OECD
2007-09-01 0:00,100.5668
2007-10-01 0:00,100.3252
2007-11-01 0:00,100.0478
2007-12-01 0:00,99.83553
2008-01-01 0:00,99.61751
2008-02-01 0:00,99.3073
2008-03-01 0:00,98.93373
2008-04-01 0:00,98.47345
2008-05-01 0:00,98.02179
2008-06-01 0:00,97.66872
2008-07-01 0:00,97.55879
2008-08-01 0:00,97.63964
2008-09-01 0:00,97.64931
2008-10-01 0:00,97.3791
2008-11-01 0:00,97.13139
2008-12-01 0:00,96.99434
2009-01-01 0:00,96.93189
2009-02-01 0:00,96.94212
2009-03-01 0:00,97.17201
2009-04-01 0:00,97.63534
2009-05-01 0:00,98.09692
2009-06-01 0:00,98.44155
2009-07-01 0:00,98.6644
2009-08-01 0:00,98.87181
2009-09-01 0:00,99.09219
2009-10-01 0:00,99.18999
2009-11-01 0:00,99.21777
2009-12-01 0:00,99.27962
2010-01-01 0:00,99.35112
2010-02-01 0:00,99.37003
2010-03-01 0:00,99.36861
2010-04-01 0:00,99.34741
2010-05-01 0:00,99.29856
2010-06-01 0:00,99.25261
2010-07-01 0:00,99.20316
2010-08-01 0:00,99.21918
2010-09-01 0:00,99.24396
2010-10-01 0:00,99.28687
2010-11-01 0:00,99.36736
2010-12-01 0:00,99.40282
2011-01-01 0:00,99.36472
2011-02-01 0:00,99.25667
2011-03-01 0:00,99.02856
2011-04-01 0:00,98.8973
2011-05-01 0:00,98.89012
2011-06-01 0:00,98.80638
2011-07-01 0:00,98.56987
2011-08-01 0:00,98.28944
2011-09-01 0:00,98.17825
2011-10-01 0:00,98.19303
2011-11-01 0:00,98.32631
2011-12-01 0:00,98.51463
2012-01-01 0:00,98.72513
2012-02-01 0:00,98.87511
2012-03-01 0:00,98.94374
2012-04-01 0:00,98.94542
2012-05-01 0:00,98.91327
2012-06-01 0:00,98.81944
2012-07-01 0:00,98.76627
2012-08-01 0:00,98.76446
2012-09-01 0:00,98.80578
2012-10-01 0:00,98.86489
2012-11-01 0:00,98.87296
2012-12-01 0:00,98.82452
2013-01-01 0:00,98.89362
2013-02-01 0:00,99.01271
2013-03-01 0:00,99.12348
2013-04-01 0:00,99.23125
2013-05-01 0:00,99.37845
2013-06-01 0:00,99.50734
2013-07-01 0:00,99.61115
2013-08-01 0:00,99.6225
2013-09-01 0:00,99.56711
2013-10-01 0:00,99.49283
2013-11-01 0:00,99.519
2013-12-01 0:00,99.60428
2014-01-01 0:00,99.65906
2014-02-01 0:00,99.70682
2014-03-01 0:00,99.79501
2014-04-01 0:00,99.90526
2014-05-01 0:00,99.95933
2014-06-01 0:00,99.97205
2014-07-01 0:00,99.94855
2014-08-01 0:00,99.92897
2014-09-01 0:00,99.93961
2014-10-01 0:00,99.99325
2014-11-01 0:00,100.101
2014-12-01 0:00,100.2883
2015-01-01 0:00,100.4955
2015-02-01 0:00,100.6324
2015-03-01 0:00,100.6919
2015-04-01 0:00,100.6897
2015-05-01 0:00,100.6235
2015-06-01 0:00,100.5719
2015-07-01 0:00,100.463
2015-08-01 0:00,100.3733
2015-09-01 0:00,100.3439
2015-10-01 0:00,100.4492
2015-11-01 0:00,100.5844
2015-12-01 0:00,100.63
2016-01-01 0:00,100.5626
2016-02-01 0:00,100.4543
2016-03-01 0:00,100.391
2016-04-01 0:00,100.3953
2016-05-01 0:00,100.4485
2016-06-01 0:00,100.438
2016-07-01 0:00,100.358
2016-08-01 0:00,100.3404
2016-09-01 0:00,100.3743
2016-10-01 0:00,100.4098
2016-11-01 0:00,100.4799
2016-12-01 0:00,100.5358
2017-01-01 0:00,100.5303
2017-02-01 0:00,100.5556
2017-03-01 0:00,100.657
2017-04-01 0:00,100.7661
2017-05-01 0:00,100.8382
2017-06-01 0:00,100.8631
2017-07-01 0:00,100.8948
2017-08-01 0:00,100.9575
2017-09-01 0:00,101.0319
2017-10-01 0:00,101.1194
2017-11-01 0:00,101.1434
2017-12-01 0:00,101.1344
2018-01-01 0:00,101.1339
2018-02-01 0:00,101.1517
2018-03-01 0:00,101.1607
2018-04-01 0:00,101.1482
2018-05-01 0:00,101.1431
2018-06-01 0:00,101.1589
2018-07-01 0:00,101.1817
2018-08-01 0:00,101.1359
2018-09-01 0:00,101.0653
2018-10-01 0:00,100.9723
2018-11-01 0:00,100.8645
2018-12-01 0:00,100.7868
2019-01-01 0:00,100.7601
2019-02-01 0:00,100.8279
2019-03-01 0:00,100.9083
2019-04-01 0:00,100.923
