No.,REF_DATE,GEO,DGUID,Assets and liabilities,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
92,1953-08-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8384,,,t,0
93,1953-09-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8472,,,t,0
94,1953-10-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8513,,,t,0
95,1953-11-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8592,,,t,0
96,1953-12-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8637,,,t,0
97,1954-01-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8679,,,t,0
98,1954-02-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8749,,,t,0
99,1954-03-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8571,,,t,0
100,1954-04-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8558,,,t,0
101,1954-05-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8563,,,t,0
102,1954-06-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8638,,,t,0
103,1954-07-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8752,,,t,0
104,1954-08-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8878,,,t,0
105,1954-09-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,8954,,,t,0
106,1954-10-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,9188,,,t,0
107,1954-11-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,9347,,,t,0
108,1954-12-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,9312,,,t,0
109,1955-01-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,9323,,,t,0
110,1955-02-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,9377,,,t,0
111,1955-03-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,9486,,,t,0
112,1955-04-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,9599,,,t,0
113,1955-05-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,9769,,,t,0
114,1955-06-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,9896,,,t,0
115,1955-07-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10129,,,t,0
116,1955-08-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10180,,,t,0
117,1955-09-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10193,,,t,0
118,1955-10-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10228,,,t,0
119,1955-11-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10389,,,t,0
120,1955-12-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10306,,,t,0
121,1956-01-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10237,,,t,0
122,1956-02-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10180,,,t,0
123,1956-03-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10228,,,t,0
124,1956-04-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10242,,,t,0
125,1956-05-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10351,,,t,0
126,1956-06-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10436,,,t,0
127,1956-07-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10359,,,t,0
128,1956-08-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10400,,,t,0
129,1956-09-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10413,,,t,0
130,1956-10-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10423,,,t,0
131,1956-11-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10473,,,t,0
132,1956-12-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10423,,,t,0
133,1957-01-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10279,,,t,0
134,1957-02-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10260,,,t,0
135,1957-03-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10356,,,t,0
136,1957-04-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10382,,,t,0
137,1957-05-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10410,,,t,0
138,1957-06-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10445,,,t,0
139,1957-07-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10377,,,t,0
140,1957-08-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10373,,,t,0
141,1957-09-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10438,,,t,0
142,1957-10-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10505,,,t,0
143,1957-11-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10606,,,t,0
144,1957-12-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10718,,,t,0
145,1958-01-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10800,,,t,0
146,1958-02-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10885,,,t,0
147,1958-03-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10829,,,t,0
148,1958-04-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,10865,,,t,0
149,1958-05-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,11276,,,t,0
150,1958-06-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,11262,,,t,0
151,1958-07-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,11551,,,t,0
152,1958-08-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,11907,,,t,0
153,1958-09-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,11964,,,t,0
154,1958-10-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12087,,,t,0
155,1958-11-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12117,,,t,0
156,1958-12-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12085,,,t,0
157,1959-01-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12189,,,t,0
158,1959-02-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12113,,,t,0
159,1959-03-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12184,,,t,0
160,1959-04-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12135,,,t,0
161,1959-05-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,12174,,,t,0
